epoch,train_loss,test_loss
1.0,0.28320203224817914,0.29041171073913574
2.0,0.1991599053144455,0.27049392461776733
3.0,0.15222724278767905,0.2325122058391571
4.0,0.13661427050828934,0.19602307677268982
5.0,0.12836121519406637,0.1741124838590622
6.0,0.11969275772571564,0.16175714135169983
7.0,0.11231629302104314,0.150177001953125
8.0,0.1024242714047432,0.1431000977754593
9.0,0.09506998211145401,0.13445158302783966
10.0,0.0985051840543747,0.12281245738267899
11.0,0.08634427189826965,0.10712451487779617
12.0,0.08687015622854233,0.10952495783567429
13.0,0.08097246537605922,0.09787202626466751
14.0,0.07656251639127731,0.08942855894565582
15.0,0.06868945434689522,0.09582485258579254
16.0,0.06169744208455086,0.08706436306238174
17.0,0.05430282404025396,0.08148696273565292
18.0,0.053904968003431954,0.06149584427475929
19.0,0.056519401570161186,0.0905437096953392
20.0,0.0641631968319416,0.17201416194438934
21.0,0.054718067248662315,0.137443408370018
22.0,0.05763447657227516,0.1609748750925064
23.0,0.05595368022720019,0.10530882328748703
24.0,0.05415318037072817,0.09517371654510498
25.0,0.050094980746507645,0.0864972248673439
26.0,0.05533210560679436,0.08756765723228455
27.0,0.047851670533418655,0.04198896139860153
28.0,0.049761598308881126,0.053068485110998154
29.0,0.04920664429664612,0.07528599351644516
30.0,0.04067743321259817,0.08207954466342926
31.0,0.038542172561089195,0.054946087300777435
32.0,0.036311835050582886,0.04862876981496811
33.0,0.0343780480325222,0.07767525315284729
34.0,0.03384509185949961,0.0830063745379448
35.0,0.04061438888311386,0.09068317711353302
36.0,0.03462987393140793,0.08790052682161331
37.0,0.033490355437000595,0.06897550821304321
38.0,0.035200988252957664,0.07760535180568695
39.0,0.033299233143528305,0.09404437243938446
40.0,0.0319651880611976,0.06848987936973572
41.0,0.031396156176924706,0.05025661736726761
42.0,0.03265965357422829,0.04600471630692482
43.0,0.03471128021677335,0.052491433918476105
44.0,0.02672025002539158,0.07549460977315903
45.0,0.037278824796279274,0.08601655066013336
46.0,0.031039743994673092,0.08230960369110107
47.0,0.02949591415623824,0.05834430083632469
48.0,0.03340370518465837,0.053655367344617844
